Asof,Index Code,Closed Price,  Return  ,
08/10/2018,SET+3,0, (0.0140426507409115000),
08/10/2018,SET50,1115.02, (0.0142423947733683000),
08/10/2018,SET100,2478.4, (0.0149952506428523000),
08/10/2018,SETHD,1276.77, (0.0113134786042839000),
08/10/2018,SETPF,208.39, (0.0028709507631945500),
08/10/2018,SET-TRI,10562.73, (0.0140535727120241000),
08/10/2018,SET50-TRI,10500.07, (0.0141473605145178000),
08/10/2018,SET100-TRI,4078.29, (0.0149081765502983000),
08/10/2018,SETHD-TRI,1751.37, (0.0111120521724402000),
08/10/2018,USD-THB,32.987, 0.0036205427771691700 ,
08/10/2018,HKD-THB,4.2133, 0.0042665776803165700 ,
08/10/2018,INR-THB,0.4455, 0.0036044154088759100 ,
08/10/2018,JPY-THB,29.0473, 0.0064829765559490900 ,
08/10/2018,SGD-THB,23.8139, 0.0014466241931074800 ,
08/10/2018,LFPM-USD,1186.95, (0.0139973417511213000),
08/10/2018,LFPM-THB,39153.91965, (0.0104274769485287000),
08/10/2018,GOLD,18700, -   ,
08/10/2018,FTSE-SGD,783.42, (0.0036120367308524200),
08/10/2018,FTSE-THB,18656.28554, (0.0021706377974660700),
08/10/2018,MSCI-ASEAN-USD,4786.111, (0.0094230944358437700),
08/10/2018,MSCI-ASEAN-THB,157879.4436, (0.0058366683751729400),
08/10/2018,MSCI-WD-TR-USD,250.0247, (0.0038011193778595400),
08/10/2018,MSCI-WD-TR-THB,8247.564779, (0.0001943387159991650),
08/10/2018,MSCI-WIT-TR-USD,254.23, (0.0120083942173169000),
08/10/2018,MSCI-WIT-TR-THB,8386.28501, (0.0084313283450966300),
08/10/2018,MSCI-CN-TR-USD,1131.1, (0.0325450113330199000),
08/10/2018,MSCI-CN-TR-THB,37311.5957, (0.0290422991615653000),
08/10/2018,MSCI-ASXJ-USD,494.5319, (0.0124938921345470000),
08/10/2018,MSCI-ASXJ-THB,16313.12379, (0.0089185840283040300),
08/10/2018,MSCI-ASXJ-TR-USD,441.732, (0.0123022847100175000),
08/10/2018,MSCI-ASXJ-TR-THB,14571.41348, (0.0087262828808976100),
